Ortsteil,Population,Key_Areas,Community_Notes
Prenzlauer Berg,167000,"Schönhauser Allee, Kastanienallee",منطقة عصرية، شريحة شابة، صالونات عضوية
Pankow,67000,"Breite Straße, Rathaus-Center",سكني تقليدي، عائلي، متوسط الدخل
Weißensee,54000,Berliner Allee,هادئ، متوسط الدخل، نمو عمراني
Blankenburg,6800,Alt-Blankenburg,منطقة سكنية منخفضة الكثافة
Karow,20000,Bucher Straße,حي جديد نسبيًا، عائلي
Heinersdorf,7000,Romain-Rolland-Straße,سكني بسيط
Niederschönhausen,30000,Hermann-Hesse-Straße,راقٍ، كبار السن، صالونات كلاسيكية
Rosenthal,11000,Hauptstraße,منطقة سكن هادئ
Französisch Buchholz,20000,Blankenburger Straße,عائلي، منخفض الكثافة
Buch,15000,"Wiltbergstraße, Helios Klinikum",مستشفيات، سكني وطبقة عاملة
Wilhelmsruh,8000,Hauptstraße,حي صغير
Blankenfelde,1500,Off residential,منطقة مفتوحة
Stadtrandsiedlung Malchow,1200,Mostly rural,شبه ريفي
