Ortsteil,Population,Key_Areas,Community_Notes
Alt-Treptow,12000,"Treptower Park, Elsenstraße",سكني حضري، مقاهي وفن حضري، قرب Kreuzberg
Plänterwald,11000,Am Plänterwald,قرب من الحدائق والنهر، سكني وهادئ
Baumschulenweg,20000,Baumschulenstraße,عائلي، متوسط الدخل، خدمات محلية
Johannisthal,20000,Winckelmannstraße,هادئ، مجتمع متقدم بالعمر
Niederschöneweide,12000,Brückenstraße,قريب من النهر، مجمعات جديدة
Oberschöneweide,23000,Wilhelminenhofstraße,مدارس، مجتمعات شبابية، نشاط محلي
Köpenick,64000,"Bahnhofstraße, Altstadt Köpenick",أكبر حي، مركز تجاري محلي، محلات قوية
Friedrichshagen,18000,Bölschestraße,منطقة فنية وسياحية
Rahnsdorf,9000,Fürstenwalder Damm,شبه ريفي، مناسب لعروض متنقلة
Grünau,9000,Regattastraße,هدوء، قرب البحيرات
Altglienicke,28000,Ortolfstraße,عائلي، مدارس، كثافة بشرية جيدة
Bohnsdorf,11000,Falkenbrunnstraße,مجمعات جديدة، سكن منظم
Grünau,9000,Regattastraße,طبيعة هادئة، إمكانية توزيع متجول
Müggelheim,6500,Müggelheimer Damm,بعيد، سياحي، مناسب للعطلات
Schmöckwitz,4500,Adlergestell,أقصى الجنوب الشرقي، ريفي جداً
